,Variable 1,Variable 2,Correlation
206,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.4930258859
207,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.4760576134
208,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.4465198699
209,Depression Value,"7. In a semester, how often have you felt afraid, as if something awful might happen?",0.6662587111
210,Anxiety_is_missing,"7. In a semester, how often have you felt afraid, as if something awful might happen?",
211,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",Anxiety Value,0.8051242015
212,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",Anxiety Value,0.6985474459
213,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ",Anxiety Value,0.7400754316
214,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",Anxiety Value,0.8245252825
215,"5. In a semester, how often have you worried too much about academic affairs? ",Anxiety Value,0.846619663
216,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",Anxiety Value,0.7979150687
217,"7. In a semester, how often have you felt afraid, as if something awful might happen?",Anxiety Value,0.8072923754
218,Anxiety Value,Anxiety Value,1
219,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",Anxiety Value,0.5351602689
220,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",Anxiety Value,0.5612857595
221,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ",Anxiety Value,0.5997296646
222,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",Anxiety Value,0.5638099394
223,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",Anxiety Value,0.02134788267
224,"6. In a semester, how often you felt as if things in your academic life is going on your way? ",Anxiety Value,0.1348605335
225,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ",Anxiety Value,0.03503547244
226,"8. In a semester, how often you felt as if your academic performance was on top?",Anxiety Value,0.1196577463
227,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",Anxiety Value,0.5416814138
228,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",Anxiety Value,0.5911471035
